"Estimated Resident Population by Age and Sex (1991+) (Annual-Jun)","","","",""
"","","","Male","Female"
" "," ","95 Years and Over",710,2590
2004,"As at","0 Years",29620,28310
" "," ","1 Years",28560,27110
" "," ","2 Years",28150,27230
" "," ","3 Years",29270,28030
" "," ","4 Years",29860,28530
" "," ","5 Years",29190,27600
" "," ","6 Years",29930,28430
" "," ","7 Years",29600,28550
" "," ","8 Years",30710,28690
" "," ","9 Years",31200,29490
" "," ","10 Years",31320,29530
" "," ","11 Years",32120,30240
" "," ","12 Years",32580,30560
" "," ","13 Years",33220,31690
" "," ","14 Years",32380,31400
" "," ","15 Years",31410,30290
" "," ","16 Years",31020,29970
" "," ","17 Years",30270,29010
" "," ","18 Years",29910,29290
" "," ","19 Years",29980,29300
" "," ","20 Years",30280,29460
" "," ","21 Years",30220,29290
" "," ","22 Years",29040,28360
" "," ","23 Years",27810,27450
" "," ","24 Years",26550,26630
" "," ","25 Years",25370,26260
" "," ","26 Years",24280,25130
" "," ","27 Years",24440,25620
" "," ","28 Years",24400,25690
" "," ","29 Years",25210,27430
" "," ","30 Years",26420,28980
" "," ","31 Years",27660,30360
" "," ","32 Years",29150,31910
" "," ","33 Years",29450,32550
" "," ","34 Years",29130,31760
" "," ","35 Years",29360,32190
" "," ","36 Years",29190,31960
" "," ","37 Years",29210,31820
" "," ","38 Years",29480,31480
" "," ","39 Years",30020,31950
" "," ","40 Years",31250,33150
" "," ","41 Years",31630,33990
" "," ","42 Years",31880,33890
" "," ","43 Years",31240,33320
" "," ","44 Years",30400,31770
" "," ","45 Years",29990,31240
" "," ","46 Years",28560,29830
" "," ","47 Years",28390,29210
" "," ","48 Years",27720,28580
" "," ","49 Years",26610,27580
" "," ","50 Years",25940,26770
" "," ","51 Years",25120,25690
" "," ","52 Years",24920,25280
" "," ","53 Years",24410,24810
" "," ","54 Years",24380,24940
" "," ","55 Years",24060,24190
" "," ","56 Years",24100,24510
" "," ","57 Years",24230,24690
" "," ","58 Years",20390,20840
" "," ","59 Years",19340,19720
" "," ","60 Years",18620,18770
" "," ","61 Years",16470,16920
" "," ","62 Years",18170,18820
" "," ","63 Years",17930,18520
" "," ","64 Years",16610,17020
" "," ","65 Years",14820,15770
" "," ","66 Years",14320,14950
" "," ","67 Years",13560,14490
" "," ","68 Years",12760,13790
" "," ","69 Years",12430,12950
" "," ","70 Years",11910,12740
" "," ","71 Years",11540,12730
" "," ","72 Years",11430,12410
" "," ","73 Years",11550,12680
" "," ","74 Years",10850,12380
" "," ","75 Years",10250,11700
" "," ","76 Years",9940,11510
" "," ","77 Years",9120,10960
" "," ","78 Years",8460,10660
" "," ","79 Years",7880,10530
" "," ","80 Years",6840,9680
" "," ","81 Years",6150,9040
" "," ","82 Years",5560,8770
" "," ","83 Years",4810,8050
" "," ","84 Years",4110,7460
" "," ","85 Years",3130,5740
" "," ","86 Years",2550,5260
" "," ","87 Years",2400,4900
" "," ","88 Years",1960,4290
" "," ","89 Years",1600,3760
" "," ","90 Years",1280,3030
" "," ","91 Years",960,2570
" "," ","92 Years",670,2090
" "," ","93 Years",520,1430
" "," ","94 Years",330,1150
" "," ","95 Years and Over",730,2740
2005,"As at","0 Years",29570,28190
" "," ","1 Years",29370,28070
" "," ","2 Years",28680,27190
" "," ","3 Years",28260,27320
" "," ","4 Years",29480,28180
" "," ","5 Years",30050,28700
" "," ","6 Years",29320,27740
" "," ","7 Years",29950,28520
" "," ","8 Years",29700,28600
" "," ","9 Years",30870,28940
" "," ","10 Years",31350,29710
" "," ","11 Years",31450,29730
" "," ","12 Years",32240,30480
" "," ","13 Years",32650,30720
" "," ","14 Years",33360,31820
" "," ","15 Years",32470,31620
" "," ","16 Years",31600,30590
" "," ","17 Years",31130,30200
" "," ","18 Years",30220,29000
" "," ","19 Years",29840,29430
" "," ","20 Years",29820,29560
" "," ","21 Years",29900,29410
" "," ","22 Years",29660,29050
" "," ","23 Years",28460,28060
" "," ","24 Years",27260,27230
" "," ","25 Years",26060,26590
" "," ","26 Years",25040,26410
" "," ","27 Years",24220,25530
" "," ","28 Years",24640,26210
" "," ","29 Years",24780,26400
" "," ","30 Years",25700,28100
" "," ","31 Years",26840,29590
" "," ","32 Years",28010,30810
" "," ","33 Years",29430,32310
" "," ","34 Years",29810,32900
" "," ","35 Years",29400,32150
" "," ","36 Years",29700,32530
" "," ","37 Years",29420,32240
" "," ","38 Years",29350,32030
" "," ","39 Years",29710,31700
" "," ","40 Years",30200,32150
" "," ","41 Years",31440,33290
" "," ","42 Years",31770,34190
" "," ","43 Years",32010,34030
" "," ","44 Years",31370,33420
" "," ","45 Years",30480,31860
" "," ","46 Years",30060,31320
" "," ","47 Years",28610,29890
" "," ","48 Years",28410,29220
" "," ","49 Years",27750,28580
" "," ","50 Years",26600,27600
" "," ","51 Years",25890,26800
" "," ","52 Years",25110,25650
" "," ","53 Years",24850,25250
" "," ","54 Years",24320,24770
" "," ","55 Years",24300,24940
" "," ","56 Years",23960,24140
" "," ","57 Years",24010,24530
" "," ","58 Years",24150,24670
" "," ","59 Years",20280,20820
" "," ","60 Years",19250,19710
" "," ","61 Years",18520,18710
" "," ","62 Years",16360,16870
" "," ","63 Years",18040,18760
" "," ","64 Years",17790,18460
" "," ","65 Years",16460,16950
" "," ","66 Years",14660,15690
" "," ","67 Years",14160,14870
" "," ","68 Years",13370,14380
" "," ","69 Years",12590,13610
" "," ","70 Years",12180,12810
" "," ","71 Years",11640,12590
" "," ","72 Years",11230,12530
" "," ","73 Years",11100,12190
" "," ","74 Years",11150,12410
" "," ","75 Years",10430,12070
" "," ","76 Years",9870,11390
" "," ","77 Years",9490,11160
" "," ","78 Years",8690,10600
" "," ","79 Years",7970,10270
" "," ","80 Years",7390,10070
" "," ","81 Years",6360,9230
" "," ","82 Years",5680,8540
" "," ","83 Years",5070,8230
" "," ","84 Years",4310,7510
" "," ","85 Years",3690,6860
" "," ","86 Years",2740,5200
" "," ","87 Years",2220,4750
" "," ","88 Years",2040,4300
" "," ","89 Years",1650,3750
" "," ","90 Years",1300,3210
" "," ","91 Years",1000,2520
" "," ","92 Years",760,2130
" "," ","93 Years",520,1680
" "," ","94 Years",370,1120
" "," ","95 Years and Over",770,2880
2006,"As at","0 Years",30150,28910
" "," ","1 Years",29380,27990
" "," ","2 Years",29510,28180
" "," ","3 Years",28800,27310
" "," ","4 Years",28370,27400
" "," ","5 Years",29670,28370
" "," ","6 Years",30280,28910
" "," ","7 Years",29500,27980
" "," ","8 Years",29960,28620
" "," ","9 Years",29820,28770
" "," ","10 Years",31100,29250
" "," ","11 Years",31570,29970
" "," ","12 Years",31640,29990
" "," ","13 Years",32400,30750
" "," ","14 Years",32800,30960
" "," ","15 Years",33590,32030
" "," ","16 Years",32610,31990
" "," ","17 Years",31820,30880
" "," ","18 Years",31140,30180
" "," ","19 Years",30250,29070
" "," ","20 Years",29830,29720
" "," ","21 Years",29560,29650
" "," ","22 Years",29400,29240
" "," ","23 Years",29090,28880
" "," ","24 Years",27970,27860
" "," ","25 Years",26850,27140
" "," ","26 Years",25810,26810
" "," ","27 Years",24950,26790
" "," ","28 Years",24310,26050
" "," ","29 Years",24860,26810
" "," ","30 Years",25180,27080
" "," ","31 Years",26120,28670
" "," ","32 Years",27080,29960
" "," ","33 Years",28270,31240
" "," ","34 Years",29670,32740
" "," ","35 Years",30140,33360
" "," ","36 Years",29680,32520
" "," ","37 Years",30040,32870
" "," ","38 Years",29710,32450
" "," ","39 Years",29570,32220
" "," ","40 Years",29920,32020
" "," ","41 Years",30380,32420
" "," ","42 Years",31600,33510
" "," ","43 Years",31940,34420
" "," ","44 Years",32110,34170
" "," ","45 Years",31490,33510
" "," ","46 Years",30540,31920
" "," ","47 Years",30080,31370
" "," ","48 Years",28610,29970
" "," ","49 Years",28400,29280
" "," ","50 Years",27750,28580
" "," ","51 Years",26550,27550
" "," ","52 Years",25810,26780
" "," ","53 Years",25070,25610
" "," ","54 Years",24750,25210
" "," ","55 Years",24160,24770
" "," ","56 Years",24180,24930
" "," ","57 Years",23830,24090
" "," ","58 Years",23890,24480
" "," ","59 Years",24020,24660
" "," ","60 Years",20160,20800
" "," ","61 Years",19140,19700
" "," ","62 Years",18400,18680
" "," ","63 Years",16270,16840
" "," ","64 Years",17930,18730
" "," ","65 Years",17660,18400
" "," ","66 Years",16280,16900
" "," ","67 Years",14490,15620
" "," ","68 Years",13990,14760
" "," ","69 Years",13200,14230
" "," ","70 Years",12400,13460
" "," ","71 Years",11940,12650
" "," ","72 Years",11370,12410
" "," ","73 Years",10890,12300
" "," ","74 Years",10790,11960
" "," ","75 Years",10770,12130
" "," ","76 Years",10040,11810
" "," ","77 Years",9480,11080
" "," ","78 Years",9060,10800
" "," ","79 Years",8220,10220
" "," ","80 Years",7520,9890
" "," ","81 Years",6900,9610
" "," ","82 Years",5900,8770
" "," ","83 Years",5210,8030
" "," ","84 Years",4650,7700
" "," ","85 Years",3850,6940
" "," ","86 Years",3290,6240
" "," ","87 Years",2380,4700
" "," ","88 Years",1930,4260
" "," ","89 Years",1720,3770
" "," ","90 Years",1380,3250
" "," ","91 Years",1020,2700
" "," ","92 Years",790,2080
" "," ","93 Years",580,1740
" "," ","94 Years",400,1310
" "," ","95 Years and Over",850,2960
2007,"As at","0 Years",31900,30230
" "," ","1 Years",30170,28850
" "," ","2 Years",29490,28100
" "," ","3 Years",29680,28260
" "," ","4 Years",28970,27460
" "," ","5 Years",28590,27650
" "," ","6 Years",29980,28620
" "," ","7 Years",30570,29160
" "," ","8 Years",29810,28230
" "," ","9 Years",30270,28910
" "," ","10 Years",30190,28990
" "," ","11 Years",31310,29430
" "," ","12 Years",31640,30090
" "," ","13 Years",31620,30090
" "," ","14 Years",32260,30780
" "," ","15 Years",32590,31100
" "," ","16 Years",33310,32170
" "," ","17 Years",32260,32080
" "," ","18 Years",31370,30570
" "," ","19 Years",30770,30050
" "," ","20 Years",29900,29030
" "," ","21 Years",29170,29360
" "," ","22 Years",28750,29060
" "," ","23 Years",28510,28650
" "," ","24 Years",28320,28440
" "," ","25 Years",27330,27660
