Area,Age group,Sex,Year,Value,Flags
"Total, New Zealand by regional council/area unit","45 years","Female","2001",27342,
"Total, New Zealand by regional council/area unit","46 years","Male","1996",24321,
"Total, New Zealand by regional council/area unit","46 years","Male","2001",25086,
"Total, New Zealand by regional council/area unit","46 years","Female","1996",24219,
"Total, New Zealand by regional council/area unit","46 years","Female","2001",26331,
"Total, New Zealand by regional council/area unit","47 years","Male","1996",24273,
"Total, New Zealand by regional council/area unit","47 years","Male","2001",24339,
"Total, New Zealand by regional council/area unit","47 years","Female","1996",24189,
"Total, New Zealand by regional council/area unit","47 years","Female","2001",25353,
"Total, New Zealand by regional council/area unit","48 years","Male","1996",24066,
"Total, New Zealand by regional council/area unit","48 years","Male","2001",24129,
"Total, New Zealand by regional council/area unit","48 years","Female","1996",24387,
"Total, New Zealand by regional council/area unit","48 years","Female","2001",25047,
"Total, New Zealand by regional council/area unit","49 years","Male","1996",23361,
"Total, New Zealand by regional council/area unit","49 years","Male","2001",24030,
"Total, New Zealand by regional council/area unit","49 years","Female","1996",23385,
"Total, New Zealand by regional council/area unit","49 years","Female","2001",24186,
"Total, New Zealand by regional council/area unit","50 years","Male","1996",20436,
"Total, New Zealand by regional council/area unit","50 years","Male","2001",23643,
"Total, New Zealand by regional council/area unit","50 years","Female","1996",20448,
"Total, New Zealand by regional council/area unit","50 years","Female","2001",24459,
"Total, New Zealand by regional council/area unit","51 years","Male","1996",18885,
"Total, New Zealand by regional council/area unit","51 years","Male","2001",23583,
"Total, New Zealand by regional council/area unit","51 years","Female","1996",18885,
"Total, New Zealand by regional council/area unit","51 years","Female","2001",23808,
"Total, New Zealand by regional council/area unit","52 years","Male","1996",18114,
"Total, New Zealand by regional council/area unit","52 years","Male","2001",23478,
"Total, New Zealand by regional council/area unit","52 years","Female","1996",17931,
"Total, New Zealand by regional council/area unit","52 years","Female","2001",23796,
"Total, New Zealand by regional council/area unit","53 years","Male","1996",17475,
"Total, New Zealand by regional council/area unit","53 years","Male","2001",23481,
"Total, New Zealand by regional council/area unit","53 years","Female","1996",17490,
"Total, New Zealand by regional council/area unit","53 years","Female","2001",23985,
"Total, New Zealand by regional council/area unit","54 years","Male","1996",18444,
"Total, New Zealand by regional council/area unit","54 years","Male","2001",22767,
"Total, New Zealand by regional council/area unit","54 years","Female","1996",18612,
"Total, New Zealand by regional council/area unit","54 years","Female","2001",23169,
"Total, New Zealand by regional council/area unit","55 years","Male","1996",18189,
"Total, New Zealand by regional council/area unit","55 years","Male","2001",19839,
"Total, New Zealand by regional council/area unit","55 years","Female","1996",18114,
"Total, New Zealand by regional council/area unit","55 years","Female","2001",20151,
"Total, New Zealand by regional council/area unit","56 years","Male","1996",16275,
"Total, New Zealand by regional council/area unit","56 years","Male","2001",18249,
"Total, New Zealand by regional council/area unit","56 years","Female","1996",16419,
"Total, New Zealand by regional council/area unit","56 years","Female","2001",18768,
"Total, New Zealand by regional council/area unit","57 years","Male","1996",15489,
"Total, New Zealand by regional council/area unit","57 years","Male","2001",17490,
"Total, New Zealand by regional council/area unit","57 years","Female","1996",15744,
"Total, New Zealand by regional council/area unit","57 years","Female","2001",17634,
"Total, New Zealand by regional council/area unit","58 years","Male","1996",14676,
"Total, New Zealand by regional council/area unit","58 years","Male","2001",16773,
"Total, New Zealand by regional council/area unit","58 years","Female","1996",14919,
"Total, New Zealand by regional council/area unit","58 years","Female","2001",17151,
"Total, New Zealand by regional council/area unit","59 years","Male","1996",14157,
"Total, New Zealand by regional council/area unit","59 years","Male","2001",17826,
"Total, New Zealand by regional council/area unit","59 years","Female","1996",14619,
"Total, New Zealand by regional council/area unit","59 years","Female","2001",18372,
"Total, New Zealand by regional council/area unit","60 years","Male","1996",13575,
"Total, New Zealand by regional council/area unit","60 years","Male","2001",17619,
"Total, New Zealand by regional council/area unit","60 years","Female","1996",13716,
"Total, New Zealand by regional council/area unit","60 years","Female","2001",17904,
"Total, New Zealand by regional council/area unit","61 years","Male","1996",13608,
"Total, New Zealand by regional council/area unit","61 years","Male","2001",15813,
"Total, New Zealand by regional council/area unit","61 years","Female","1996",13503,
"Total, New Zealand by regional council/area unit","61 years","Female","2001",16191,
"Total, New Zealand by regional council/area unit","62 years","Male","1996",13227,
"Total, New Zealand by regional council/area unit","62 years","Male","2001",14736,
"Total, New Zealand by regional council/area unit","62 years","Female","1996",13425,
"Total, New Zealand by regional council/area unit","62 years","Female","2001",15597,
"Total, New Zealand by regional council/area unit","63 years","Male","1996",13380,
"Total, New Zealand by regional council/area unit","63 years","Male","2001",14160,
"Total, New Zealand by regional council/area unit","63 years","Female","1996",13650,
"Total, New Zealand by regional council/area unit","63 years","Female","2001",14661,
"Total, New Zealand by regional council/area unit","64 years","Male","1996",13632,
"Total, New Zealand by regional council/area unit","64 years","Male","2001",13512,
"Total, New Zealand by regional council/area unit","64 years","Female","1996",13554,
"Total, New Zealand by regional council/area unit","64 years","Female","2001",14373,
"Total, New Zealand by regional council/area unit","65 years","Male","1996",13803,
"Total, New Zealand by regional council/area unit","65 years","Male","2001",12888,
"Total, New Zealand by regional council/area unit","65 years","Female","1996",14133,
"Total, New Zealand by regional council/area unit","65 years","Female","2001",13488,
"Total, New Zealand by regional council/area unit","66 years","Male","1996",13359,
"Total, New Zealand by regional council/area unit","66 years","Male","2001",12981,
"Total, New Zealand by regional council/area unit","66 years","Female","1996",13686,
"Total, New Zealand by regional council/area unit","66 years","Female","2001",13236,
"Total, New Zealand by regional council/area unit","67 years","Male","1996",13005,
"Total, New Zealand by regional council/area unit","67 years","Male","2001",12186,
"Total, New Zealand by regional council/area unit","67 years","Female","1996",13560,
"Total, New Zealand by regional council/area unit","67 years","Female","2001",12894,
"Total, New Zealand by regional council/area unit","68 years","Male","1996",12648,
"Total, New Zealand by regional council/area unit","68 years","Male","2001",12183,
"Total, New Zealand by regional council/area unit","68 years","Female","1996",13197,
"Total, New Zealand by regional council/area unit","68 years","Female","2001",12969,
"Total, New Zealand by regional council/area unit","69 years","Male","1996",12372,
"Total, New Zealand by regional council/area unit","69 years","Male","2001",12237,
"Total, New Zealand by regional council/area unit","69 years","Female","1996",13212,
"Total, New Zealand by regional council/area unit","69 years","Female","2001",12846,
"Total, New Zealand by regional council/area unit","70 years","Male","1996",11757,
"Total, New Zealand by regional council/area unit","70 years","Male","2001",12291,
"Total, New Zealand by regional council/area unit","70 years","Female","1996",13008,
"Total, New Zealand by regional council/area unit","70 years","Female","2001",13203,
"Total, New Zealand by regional council/area unit","71 years","Male","1996",10938,
"Total, New Zealand by regional council/area unit","71 years","Male","2001",11640,
"Total, New Zealand by regional council/area unit","71 years","Female","1996",12768,
"Total, New Zealand by regional council/area unit","71 years","Female","2001",12723,
"Total, New Zealand by regional council/area unit","72 years","Male","1996",10368,
"Total, New Zealand by regional council/area unit","72 years","Male","2001",11169,
"Total, New Zealand by regional council/area unit","72 years","Female","1996",12285,
"Total, New Zealand by regional council/area unit","72 years","Female","2001",12390,
"Total, New Zealand by regional council/area unit","73 years","Male","1996",9546,
"Total, New Zealand by regional council/area unit","73 years","Male","2001",10785,
"Total, New Zealand by regional council/area unit","73 years","Female","1996",11994,
"Total, New Zealand by regional council/area unit","73 years","Female","2001",11931,
"Total, New Zealand by regional council/area unit","74 years","Male","1996",9150,
"Total, New Zealand by regional council/area unit","74 years","Male","2001",10263,
"Total, New Zealand by regional council/area unit","74 years","Female","1996",11844,
"Total, New Zealand by regional council/area unit","74 years","Female","2001",11868,
"Total, New Zealand by regional council/area unit","75 years","Male","1996",8601,
"Total, New Zealand by regional council/area unit","75 years","Male","2001",9612,
"Total, New Zealand by regional council/area unit","75 years","Female","1996",11652,
"Total, New Zealand by regional council/area unit","75 years","Female","2001",11553,
"Total, New Zealand by regional council/area unit","76 years","Male","1996",7146,
"Total, New Zealand by regional council/area unit","76 years","Male","2001",8901,
"Total, New Zealand by regional council/area unit","76 years","Female","1996",10023,
"Total, New Zealand by regional council/area unit","76 years","Female","2001",11334,
"Total, New Zealand by regional council/area unit","77 years","Male","1996",6267,
"Total, New Zealand by regional council/area unit","77 years","Male","2001",8157,
"Total, New Zealand by regional council/area unit","77 years","Female","1996",9189,
"Total, New Zealand by regional council/area unit","77 years","Female","2001",10644,
"Total, New Zealand by regional council/area unit","78 years","Male","1996",5820,
"Total, New Zealand by regional council/area unit","78 years","Male","2001",7230,
"Total, New Zealand by regional council/area unit","78 years","Female","1996",8874,
"Total, New Zealand by regional council/area unit","78 years","Female","2001",10218,
"Total, New Zealand by regional council/area unit","79 years","Male","1996",5724,
"Total, New Zealand by regional council/area unit","79 years","Male","2001",6840,
"Total, New Zealand by regional council/area unit","79 years","Female","1996",8991,
"Total, New Zealand by regional council/area unit","79 years","Female","2001",10014,
"Total, New Zealand by regional council/area unit","80 years","Male","1996",4971,
"Total, New Zealand by regional council/area unit","80 years","Male","2001",6249,
"Total, New Zealand by regional council/area unit","80 years","Female","1996",7905,
"Total, New Zealand by regional council/area unit","80 years","Female","2001",9657,
"Total, New Zealand by regional council/area unit","81 years","Male","1996",4674,
"Total, New Zealand by regional council/area unit","81 years","Male","2001",5091,
"Total, New Zealand by regional council/area unit","81 years","Female","1996",8022,
"Total, New Zealand by regional council/area unit","81 years","Female","2001",8127,
"Total, New Zealand by regional council/area unit","82 years","Male","1996",4071,
"Total, New Zealand by regional council/area unit","82 years","Male","2001",4248,
"Total, New Zealand by regional council/area unit","82 years","Female","1996",6936,
"Total, New Zealand by regional council/area unit","82 years","Female","2001",7236,
"Total, New Zealand by regional council/area unit","83 years","Male","1996",3576,
"Total, New Zealand by regional council/area unit","83 years","Male","2001",3675,
"Total, New Zealand by regional council/area unit","83 years","Female","1996",6546,
"Total, New Zealand by regional council/area unit","83 years","Female","2001",6666,
"Total, New Zealand by regional council/area unit","84 years","Male","1996",3120,
"Total, New Zealand by regional council/area unit","84 years","Male","2001",3540,
"Total, New Zealand by regional council/area unit","84 years","Female","1996",5463,
"Total, New Zealand by regional council/area unit","84 years","Female","2001",6618,
"Total, New Zealand by regional council/area unit","85 years","Male","1996",2445,
"Total, New Zealand by regional council/area unit","85 years","Male","2001",2922,
"Total, New Zealand by regional council/area unit","85 years","Female","1996",4884,
"Total, New Zealand by regional council/area unit","85 years","Female","2001",5736,
"Total, New Zealand by regional council/area unit","86 years","Male","1996",1965,
"Total, New Zealand by regional council/area unit","86 years","Male","2001",2700,
"Total, New Zealand by regional council/area unit","86 years","Female","1996",4350,
"Total, New Zealand by regional council/area unit","86 years","Female","2001",5397,
"Total, New Zealand by regional council/area unit","87 years","Male","1996",1587,
"Total, New Zealand by regional council/area unit","87 years","Male","2001",2124,
"Total, New Zealand by regional council/area unit","87 years","Female","1996",3846,
"Total, New Zealand by regional council/area unit","87 years","Female","2001",4485,
"Total, New Zealand by regional council/area unit","88 years","Male","1996",1326,
"Total, New Zealand by regional council/area unit","88 years","Male","2001",1731,
"Total, New Zealand by regional council/area unit","88 years","Female","1996",3000,
"Total, New Zealand by regional council/area unit","88 years","Female","2001",4038,
"Total, New Zealand by regional council/area unit","89 years","Male","1996",1065,
"Total, New Zealand by regional council/area unit","89 years","Male","2001",1338,
"Total, New Zealand by regional council/area unit","89 years","Female","1996",2562,
"Total, New Zealand by regional council/area unit","89 years","Female","2001",3216,
"Total, New Zealand by regional council/area unit","90 years","Male","1996",798,
"Total, New Zealand by regional council/area unit","90 years","Male","2001",1047,
"Total, New Zealand by regional council/area unit","90 years","Female","1996",2139,
"Total, New Zealand by regional council/area unit","90 years","Female","2001",2670,
"Total, New Zealand by regional council/area unit","91 years","Male","1996",588,
