" "," "," ","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","0-4 Years","5-9 Years","10-14 Years","15-19 Years","20-24 Years","25-29 Years","30-34 Years","35-39 Years","40-44 Years","45-49 Years","50-54 Years","55-59 Years","60-64 Years","65-69 Years","70-74 Years","75-79 Years","80-84 Years","85-89 Years","Under 15 Years","Under 16 Years","Under 18 Years","Under 20 Years","15-39 Years","15-49 Years","15-59 Years","40-64 Years","15-64 Years","15 Years and Over","16 Years and Over","18 Years and Over","20 Years and Over","60 Years and Over","65 Years and Over","75 Years and Over","80 Years and over","85 Years and Over","90 Years and over"
" "," ",2006,771,782,752,724,706,700,679,664,673,704,708,728,675,639,674,729,777,777,994,956,898,998,1159,1277,1455,1543,1628,1576,1628,1524,1541,1449,1273,1265,1205,1209,1158,1048,975,917,883,890,820,733,704,617,599,538,498,466,462,350,349,376,318,309,296,272,293,247,236,206,180,195,202,184,157,146,129,121,103,80,65,68,59,36,41,34,32,31,26,12,18,13,19,15,4,10,5,5,3735,3420,3424,4233,5787,7899,6733,5307,4030,2718,1855,1417,1019,737,375,174,88,39,10579,11308,12862,14812,29959,36707,39979,11039,40998,42440,41711,40157,38207,2461,1442,330,156,68,29
" "," ",2007,792,788,843,740,787,730,725,719,749,735,845,817,726,704,753,848,786,817,1025,1202,966,1092,1281,1407,1551,1641,1732,1736,1688,1647,1617,1492,1307,1358,1325,1233,1162,1124,1105,1037,953,907,858,845,764,635,598,526,503,485,442,417,360,323,313,310,332,292,300,282,286,231,218,220,212,201,175,142,136,104,115,98,90,93,66,61,49,33,41,28,27,35,25,14,15,13,14,4,8,4,3950,3658,3845,4678,6297,8444,7099,5661,4327,2747,1855,1516,1167,758,462,212,116,43,11453,12301,13904,16131,32179,39253,42624,11612,43791,45401,44553,42950,40723,2777,1610,390,178,62,19
" "," ",2008,847,854,779,792,798,696,669,694,717,731,708,777,717,730,733,787,752,920,1355,1488,1271,1379,1538,1708,1808,1742,1741,1753,1746,1709,1567,1461,1335,1397,1326,1246,1251,1054,1089,1008,940,890,825,785,794,697,604,519,534,456,450,407,378,370,344,313,297,255,284,272,290,266,207,194,213,196,153,155,151,118,94,102,92,69,73,67,55,49,44,39,24,25,29,16,14,16,8,13,4,6,4070,3507,3665,5302,7704,8691,7086,5648,4234,2810,1949,1421,1170,773,430,254,108,47,11242,12029,13701,16544,34431,41475,44845,11584,46015,47648,46861,45189,42346,2803,1633,430,176,68,21
" "," ",2009,871,936,877,884,863,808,672,735,680,726,763,727,684,721,741,855,895,974,1518,1601,1542,1700,1933,1923,2048,1980,1954,1918,1827,1818,1659,1524,1339,1261,1242,1120,1121,1128,1039,1022,923,807,787,759,769,655,637,538,515,392,460,372,387,406,351,334,269,291,291,276,290,300,231,194,210,191,166,128,125,140,96,80,86,49,65,47,59,47,45,39,32,24,14,17,6,16,12,7,6,7,4431,3621,3636,5843,9146,9497,7025,5430,4045,2737,1976,1461,1225,750,376,237,93,48,11688,12543,14412,17531,36941,43723,47160,11444,48385,49904,49049,47180,44061,2744,1519,393,156,63,15
" "," ",2010,763,758,683,671,603,573,556,510,630,580,590,582,559,596,662,782,835,903,1430,1706,1522,1674,1798,1814,1848,1860,1801,1707,1576,1531,1420,1140,1054,1001,872,920,834,853,783,706,737,643,572,552,578,500,450,383,428,416,389,388,359,317,334,291,295,296,271,248,287,257,246,242,192,199,142,135,136,129,118,97,86,82,73,63,58,44,42,31,27,19,26,14,11,11,14,10,9,3,3478,2849,2989,5656,8656,8475,5487,4096,3082,2177,1787,1401,1224,741,456,238,97,47,9316,10098,11836,14972,32370,37629,40817,9671,42041,43633,42851,41113,37977,2816,1592,395,157,60,13
" "," ",2011,692,727,635,640,614,564,528,470,526,461,506,463,530,538,602,729,778,792,1520,1881,1739,1713,1873,1834,1789,1840,1707,1659,1541,1534,1448,1274,1019,955,838,856,808,778,733,677,652,613,568,528,522,497,453,397,431,368,340,326,306,325,279,328,290,279,273,263,311,279,230,228,220,206,185,148,154,122,104,74,72,57,64,46,49,45,34,32,27,21,20,15,13,16,8,10,6,5,3308,2549,2639,5700,8948,8281,5534,3852,2883,2146,1576,1433,1268,815,371,206,96,45,8496,9225,10795,14196,32315,37344,40353,9306,41621,43172,42443,40873,37472,2819,1551,365,159,63,18
" "," ",2012,728,675,657,648,616,538,498,506,440,432,467,473,452,500,572,647,720,847,1581,1779,1463,1647,1725,1848,1861,1862,1800,1685,1645,1543,1457,1294,1102,974,912,867,778,763,683,730,737,621,605,551,510,428,489,427,383,421,355,323,330,319,340,322,296,292,312,274,319,265,273,267,273,233,163,188,123,104,100,85,71,92,63,52,40,45,42,25,29,32,22,18,10,10,14,11,5,2,3324,2414,2464,5574,8544,8535,5739,3821,3024,2148,1667,1496,1397,811,411,204,111,42,8202,8849,10416,13776,32213,37385,40548,9732,41945,43545,42898,41331,37971,2997,1600,378,174,63,21
" "," ",2013,766,768,731,687,621,530,541,456,466,444,490,446,481,510,557,725,737,777,1385,1603,1422,1420,1644,1806,1841,1845,1847,1771,1742,1668,1590,1389,1179,1096,929,894,868,788,785,788,698,663,623,543,580,510,488,441,441,409,368,355,362,301,343,320,318,311,307,336,312,283,284,254,278,241,218,206,132,118,97,102,94,96,57,56,50,50,36,21,31,26,17,18,14,17,14,8,7,2,3573,2437,2484,5227,8133,8873,6183,4123,3107,2289,1729,1592,1411,915,446,213,106,48,8494,9219,10733,13721,32539,37935,41256,10128,42667,44421,43696,42182,39194,3165,1754,393,180,74,26
" "," ",2014,848,857,839,774,761,689,616,566,517,533,526,449,538,543,578,762,802,951,1763,1876,1567,1676,2014,2190,2201,2195,2224,2075,1980,1866,1856,1632,1371,1251,1094,1038,975,829,879,799,829,755,743,760,631,569,495,499,462,466,454,396,375,364,329,389,329,368,371,342,364,325,302,303,284,269,246,219,173,119,142,106,79,97,79,62,76,57,39,46,30,27,24,14,19,17,6,6,5,7,4079,2921,2634,6154,9648,10340,7204,4520,3718,2491,1918,1799,1578,1026,503,280,114,41,9634,10396,12149,15788,37866,44075,47792,11504,49370,51347,50585,48832,45193,3555,1977,448,168,54,13
" "," ",2015,860,935,910,866,800,714,703,594,619,597,568,582,531,547,653,817,843,1101,2065,2398,2258,2353,2846,2958,2892,2782,2678,2560,2405,2190,2088,1775,1561,1380,1285,1179,1085,994,949,859,855,813,815,740,698,650,526,550,497,453,462,467,422,413,436,403,411,358,358,362,429,356,326,309,334,271,219,192,160,154,131,119,105,95,75,75,57,62,47,38,29,21,24,23,20,16,9,14,8,3,4371,3227,2881,7224,13307,12615,8089,5066,3921,2676,2200,1892,1754,996,525,279,117,50,10479,11296,13240,17703,46301,52898,56990,12443,58744,60740,59923,57979,53516,3750,1996,475,196,79,29
